Method 1                 Method 2
16361799                         131413
8565184                         149618
5116583                         164409
4452690                         111503
3763765                         95004
3298984                         91591
2860371                         87609
2629971                         173511
2229473                         148479
1863109                         81920
1467163                         87608
1176461                         55182
890310                         51768
670719                         87608
487538                         41529
333369                         28445
203093                         24462
105244                         21049
42098                         14222
9671                         5689
569                         569
